Sample	type	Reference_name	Reference_fasta	Reference_gbk	batch	barcode	hac_reads	hac_contigs	sup_reads	sup_contigs Annot_db
PH12_SPA44	phage	PH12	/node8_R10/vasarhelyib/MinION_results/References/PH12.fna	/node8_R10/vasarhelyib/MinION_results/References/PH12.snippy_compatible.gbk	KBAGDK_20260129	barcode47	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_47.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_47.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_47.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_47.fna
PH12_SPA70	phage	PH12	/node8_R10/vasarhelyib/MinION_results/References/PH12.fna	/node8_R10/vasarhelyib/MinION_results/References/PH12.snippy_compatible.gbk	KBAGDK_20260129	barcode42	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_42.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_42.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_42.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_42.fna
PH18_SPA15	phage	PH18	/node8_R10/vasarhelyib/MinION_results/References/PH18.fna	/node8_R10/vasarhelyib/MinION_results/References/PH18.snippy_compatible.gbk	KBAGDK_20260129	barcode45	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_45.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_45.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_45.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_45.fna
PH18_SPA46	phage	PH18	/node8_R10/vasarhelyib/MinION_results/References/PH18.fna	/node8_R10/vasarhelyib/MinION_results/References/PH18.snippy_compatible.gbk	KBAGDK_20260129	barcode44	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_44.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_44.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_44.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_44.fna
PH4_SPA23	phage	PH4	/node8_R10/vasarhelyib/MinION_results/References/PH4.fna	/node8_R10/vasarhelyib/MinION_results/References/PH4.snippy_compatible.gbk	KBAGDK_20260129	barcode46	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_46.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_46.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_46.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_46.fna
PH4_SPA29	phage	PH4	/node8_R10/vasarhelyib/MinION_results/References/PH4.fna	/node8_R10/vasarhelyib/MinION_results/References/PH4.snippy_compatible.gbkk	KBAGDK_20260129	barcode48	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_48.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_48.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_48.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_48.fna
PH12_SPA69	phage	PH12	/node8_R10/vasarhelyib/MinION_results/References/PH12.fna	/node8_R10/vasarhelyib/MinION_results/References/PH12.snippy_compatible.gbk	KBAGDK_20260129	barcode49	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_49.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_49.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_49.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_49.fna
SPA10_E2	bacterial	SPA10	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/SPA10.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA10.gbk	KBAGDK_20260129	barcode23	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_23.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_23.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_23.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_23.fna
SPA11_E3	bacterial	SPA11	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/SPA11.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA11.gbk	KBAGDK_20260129	barcode21	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_21.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_21.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_21.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_21.fna
SPA11_PH12_1	bacterial	SPA11	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/SPA11.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA11.gbk	KBAGDK_20260129	barcode36	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_36.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_36.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_36.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_36.fna
SPA11_PH12_2	bacterial	SPA11	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/SPA11.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA11.gbk	KBAGDK_20260129	barcode27	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_27.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_27.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_27.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_27.fna
SPA12_PH12_1	bacterial	SPA12	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/SPA12.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA12.gbk	KBAGDK_20260129	barcode37	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_37.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_37.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_37.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_37.fna
SPA11_PH12_3	bacterial	SPA11	/node10_R10/vasarhelyib/Staphylococcus_aureus/Genomes/SPA11.fna.gz	/node8_R10/vasarhelyib/MinION_results/References/SPA11.gbk	KBAGDK_20260129	barcode43	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_hac/KBAGDK_20260129_43.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_hac/KBAGDK_20260129_43.fna	/node10_R10/MinION_NFS/KBAGDK_20260129/basecalled_sup/KBAGDK_20260129_43.fastq.gz	/node8_R10/vasarhelyib/MinION_results/KBAGDK_20260129/consensus_sup/KBAGDK_20260129_43.fna
